ORIGEM  ; DESTINO
34 ; 21
34 ; 6
34 ; 35
21 ; 6
21 ; 35
6 ; 35
19 ; 48
19 ; 25
19 ; 36
48 ; 25
48 ; 36
25 ; 36
10 ; 32
33 ; 39
1 ; 20
1 ; 26
1 ; 7
1 ; 50
1 ; 41
20 ; 26
20 ; 7
20 ; 50
20 ; 41
26 ; 7
26 ; 50
26 ; 41
7 ; 50
7 ; 41
50 ; 41
47 ; 17
47 ; 4
17 ; 4
12 ; 18
47 ; 46
47 ; 14
46 ; 14
23 ; 5
11 ; 2
11 ; 16
11 ; 42
11 ; 40
2 ; 16
2 ; 42
2 ; 40
16 ; 42
16 ; 40
42 ; 40
43 ; 15
43 ; 45
43 ; 3
43 ; 29
15 ; 45
15 ; 3
15 ; 29
45 ; 3
45 ; 29
3 ; 29
37 ; 13
49 ; 44
49 ; 28
49 ; 8
49 ; 9
44 ; 28
44 ; 8
44 ; 9
28 ; 8
28 ; 9
8 ; 9
11 ; 27
11 ; 40
11 ; 16
27 ; 40
27 ; 16
40 ; 16
31 ; 24
